epoch,loss,mae,mse
0,2911.10986328125,43.809913635253906,2911.10986328125
1,2900.134033203125,43.82417297363281,2900.134033203125
2,2884.65771484375,43.701866149902344,2884.65771484375
3,2873.9033203125,43.60042953491211,2873.9033203125
4,2872.42138671875,43.45175552368164,2872.42138671875
5,2873.325927734375,43.44209671020508,2873.325927734375
6,2892.34912109375,43.855777740478516,2892.34912109375
7,2836.885986328125,43.21140670776367,2836.885986328125
8,2851.06201171875,43.328086853027344,2851.06201171875
9,2843.7666015625,43.32242965698242,2843.7666015625
